source_data_id,ann_index,class_id,type,x0,y0,x1,y1
S-210902_A_C_2_R_4745003-1,0,2,polygon,0,46,240,255
S-210902_A_C_2_R_4745003-1,1,2,polygon,470,518,680,717
S-210902_A_C_2_R_4745003-1,2,2,polygon,681,406,897,482
S-210902_A_C_2_R_4745003-10,0,2,polygon,402,865,594,913
S-210902_A_C_2_R_4745003-10,1,2,polygon,0,17,90,45
S-210902_A_C_2_R_4745003-10,2,2,polygon,70,1376,129,1440
S-210902_A_C_2_R_4745003-11,0,2,polygon,691,860,902,913
S-210902_A_C_2_R_4745003-11,1,2,polygon,375,1366,422,1440
S-210902_A_C_2_R_4745003-11,2,2,polygon,301,18,394,45
S-210902_A_C_2_R_4745003-12,0,2,polygon,0,150,110,188
S-210902_A_C_2_R_4745003-12,1,2,polygon,941,890,1080,939
S-210902_A_C_2_R_4745003-12,2,2,polygon,567,85,647,112
S-210902_A_C_2_R_4745003-13,0,2,polygon,238,133,445,226
S-210902_A_C_2_R_4745003-13,1,2,polygon,191,969,359,1005
S-210902_A_C_2_R_4745003-13,2,2,polygon,95,251,221,1440
S-210902_A_C_2_R_4745003-14,0,2,polygon,451,929,619,967
S-210902_A_C_2_R_4745003-14,1,2,polygon,471,108,679,202
S-210902_A_C_2_R_4745003-14,2,2,polygon,343,232,459,1440
S-210902_A_C_2_R_4745003-15,0,2,polygon,652,58,871,159
S-210902_A_C_2_R_4745003-15,1,2,polygon,523,189,650,1440
S-210902_A_C_2_R_4745003-16,0,2,polygon,877,19,1080,104
S-210902_A_C_2_R_4745003-16,1,2,polygon,739,155,888,1440
S-210902_A_C_2_R_4745003-18,0,2,polygon,243,1232,485,1371
S-210902_A_C_2_R_4745003-18,1,2,polygon,600,1136,716,1440
S-210902_A_C_2_R_4745003-18,2,2,polygon,885,0,1080,1325
S-210902_A_C_2_R_4745003-19,0,2,polygon,624,964,739,1405
S-210902_A_C_2_R_4745003-19,1,2,polygon,937,0,997,1440
S-210902_A_C_2_R_4745003-19,2,2,polygon,63,1060,525,1206
S-210902_A_C_2_R_4745003-2,0,2,polygon,0,55,371,593
S-210902_A_C_2_R_4745003-2,1,2,polygon,591,513,804,711
S-210902_A_C_2_R_4745003-2,2,2,polygon,804,398,1024,477
