source_data_id,image_relpath,orig_width,orig_height,cache_width,cache_height,scale
S-210825_A_L_2_R_22547347000-1,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-1.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-10,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-10.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-11,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-11.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-21,Ts_아파트_add/생활/보통/RGB/S-210825_A_L_2_R_22547347000-21.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-3,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-3.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-4,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-4.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-6,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-6.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347000-8,TS_아파트/생활/보통/RGB/S-210825_A_L_2_R_22547347000-8.jpg,1080,1440,768,1024,0.71111111
S-210825_A_L_2_R_22547347001-1,Ts_아파트_add/생활/보통/RGB/S-210825_A_L_2_R_22547347001-1.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-10,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-10.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-11,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-11.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-12,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-12.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-13,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-13.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-14,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-14.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-15,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-15.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-17,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-17.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-18,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-18.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-19,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-19.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-3,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-3.jpg,1080,1440,768,1024,0.71111111
S-210825_A_W_2_R_22547347002-9,TS_아파트/창호/보통/RGB/S-210825_A_W_2_R_22547347002-9.jpg,1080,1440,768,1024,0.71111111
